anio,dinero_promedio_por_persona,costo_promedio_canasta,porcentaje_dinero_en_canasta
2010,208929.68,36389.98,0.49
2011,224762.44,37885.9,0.48
2012,235879.39,40161.08,0.51
2013,261003.36,42284.47,0.5
2014,286127.33,44407.86,0.49
2015,311251.31,46531.25,0.48
2016,316615.07,46808.45,0.46
2017,321978.83,47085.65,0.43
2018,327342.6,47362.85,0.41
2019,306269.43,47287.69,0.44
2020,285196.26,47212.52,0.46
2021,324101.01,48596.68,0.44
2022,354132.29,56668.76,0.43
2023,369184.33,59313.9,0.43
2024,399483.32,57698.32,0.37
2025,442822.68,58188.39,0.32
