ds,yhat,yhat_lower,yhat_upper,trend,anio,es_prediccion
2010-07-01,36714.725863591,33820.36108033302,39571.35745273061,36714.725863591,2010,0
2011-07-01,38041.38323375808,35042.68923165592,41102.71871638216,38041.38323375808,2011,0
2012-07-01,39371.675237356096,36547.31695334209,42237.56127521255,39371.675237356096,2012,0
2015-07-01,43351.63579701014,40284.761365723534,46133.94113951027,43351.63579701014,2015,0
2018-07-01,47335.23059215323,44435.83604801747,50086.669656810125,47335.23059215323,2018,0
2020-07-01,49993.04453848595,47034.83961669134,52999.30374579807,49993.04453848595,2020,0
2021-07-01,51321.31309068461,48133.54592653132,54044.226007485086,51321.31309068461,2021,0
2022-07-01,53411.14386423193,50574.77190172482,56559.61557032879,53411.14386423193,2022,0
2023-07-01,55500.97441099086,52696.2760232719,58175.446168444214,55500.97441099086,2023,0
2024-07-01,57596.53052089158,54549.27694634125,60642.89977584367,57596.53052089158,2024,0
2025-07-01,59686.361067650505,56615.786821037,62660.16345722566,59686.361067650505,2025,0
2026-01-01,60739.86468574268,57704.651583135244,63509.45635397353,60739.86468574268,2026,1
2027-01-01,62829.695232501595,59908.29967235136,65759.7193415824,62829.695232501595,2027,1
2028-01-01,64919.52577926053,62058.06226587245,68003.78698756344,64919.52577926053,2028,1
2029-01-01,67015.08188916126,63968.21624623019,70033.89042274615,67015.08188916126,2029,1
2030-01-01,69104.91243592018,66008.38549975799,72241.2203436078,69104.91243592018,2030,1
