anio,dinero_promedio_por_persona,costo_promedio_canasta,porcentaje_dinero_en_canasta
2010,208929.68,36389.98,48.79
2011,224762.44,37885.9,47.56
2012,235879.39,40161.08,50.71
2013,261003.36,42284.47,49.69
2014,286127.33,44407.86,48.67
2015,311251.31,46531.25,47.65
2016,316615.07,46808.45,45.51
2017,321978.83,47085.65,43.36
2018,327342.6,47362.85,41.21
2019,306269.43,47287.69,43.64
2020,285196.26,47212.52,46.08
2021,324101.01,48596.68,44.03
2022,354132.29,56668.76,42.84
2023,369184.33,59313.9,42.75
2024,399483.32,57698.32,36.91
2025,442822.68,58188.39,32.08
