anio,region,zona,porcentaje_ingreso_en_cba
2011,Brunca,rural,68.0
2012,Brunca,rural,77.71
2013,Brunca,rural,73.94
2014,Brunca,rural,70.16
2015,Brunca,rural,66.38
2016,Brunca,rural,64.62
2017,Brunca,rural,62.85
2018,Brunca,rural,61.09
2019,Brunca,rural,52.48
2020,Brunca,rural,43.87
2021,Brunca,rural,54.41
2022,Brunca,rural,53.77
2023,Brunca,rural,50.12
2024,Brunca,rural,55.79
2025,Brunca,rural,46.96
2011,Brunca,urbana,57.85
2012,Brunca,urbana,49.52
2013,Brunca,urbana,49.96
2014,Brunca,urbana,50.4
2015,Brunca,urbana,50.84
2016,Brunca,urbana,50.47
2017,Brunca,urbana,50.11
2018,Brunca,urbana,49.75
2019,Brunca,urbana,44.88
2020,Brunca,urbana,40.02
2021,Brunca,urbana,47.56
2022,Brunca,urbana,47.02
2023,Brunca,urbana,45.19
2024,Brunca,urbana,42.45
2025,Brunca,urbana,36.29
2011,Central,rural,40.28
2012,Central,rural,40.22
2013,Central,rural,40.42
2014,Central,rural,40.62
2015,Central,rural,40.82
2016,Central,rural,39.59
2017,Central,rural,38.36
2018,Central,rural,37.13
2019,Central,rural,39.97
2020,Central,rural,42.82
2021,Central,rural,38.0
2022,Central,rural,37.48
2023,Central,rural,43.46
2024,Central,rural,32.57
2025,Central,rural,31.16
2011,Central,urbana,33.51
2012,Central,urbana,34.59
2013,Central,urbana,36.07
2014,Central,urbana,37.55
2015,Central,urbana,39.02
2016,Central,urbana,37.0
2017,Central,urbana,34.98
2018,Central,urbana,32.95
2019,Central,urbana,35.6
2020,Central,urbana,38.24
2021,Central,urbana,34.18
2022,Central,urbana,32.41
2023,Central,urbana,33.32
2024,Central,urbana,28.11
2025,Central,urbana,24.98
2011,Chorotega,rural,74.12
2012,Chorotega,rural,65.33
2013,Chorotega,rural,67.53
2014,Chorotega,rural,69.73
2015,Chorotega,rural,71.92
2016,Chorotega,rural,65.28
2017,Chorotega,rural,58.63
2018,Chorotega,rural,51.98
2019,Chorotega,rural,48.62
2020,Chorotega,rural,45.25
