ds,yhat,yhat_lower,yhat_upper,trend,anio,es_prediccion
2010-07-01,36714.725863591,33790.961977848594,39598.17117727559,36714.725863591,2010,0
2011-07-01,38041.38323375808,34938.25603535795,40945.9829898906,38041.38323375808,2011,0
2012-07-01,39371.675237356,36366.186547713194,42374.84467511384,39371.675237356,2012,0
2015-07-01,43351.635797009534,40569.14790315598,46231.3845825783,43351.635797009534,2015,0
2018-07-01,47335.23059215214,44573.59463841992,50280.26845490585,47335.23059215214,2018,0
2020-07-01,49993.04453848454,46974.24062394494,52745.33802392604,49993.04453848454,2020,0
2021-07-01,51321.31309068304,48438.881866605836,54228.18537091568,51321.31309068304,2021,0
2022-07-01,53411.1438642302,50455.46473546521,56355.06457099953,53411.1438642302,2022,0
2023-07-01,55500.97441098976,52580.431194254794,58266.49460044143,55500.97441098976,2023,0
2024-07-01,57596.53052089112,54597.786894914236,60537.9399924631,57596.53052089112,2024,0
2025-07-01,59686.36106765068,56590.47513825214,62314.87066111594,59686.36106765068,2025,0
2026-01-01,60739.86468574317,57833.64045235504,63643.26470334053,60739.86468574317,2026,1
2027-01-01,62829.69523250272,59965.4909296425,65905.86263101114,62829.69523250272,2027,1
2028-01-01,64919.52577926229,61898.36017949665,68108.89629096819,64919.52577926229,2028,1
2029-01-01,67015.08188916366,63983.0851221726,70103.25379132449,67015.08188916366,2029,1
2030-01-01,69104.9124359232,65788.69315200845,72375.63814546577,69104.9124359232,2030,1
