anio,cba_media,cba_mediana,ingreso_medio,pct_pobreza_extrema,pct_pobreza_total,n_personas,ds,y
2010,36387.44,33455.0,207628.82,8.57,28.07,41184,2010-07-01,36387.44
2011,37880.29,34921.0,223348.74,9.21,27.9,40860,2011-07-01,37880.29
2012,40155.61,37087.0,234579.93,9.19,27.45,39390,2012-07-01,40155.61
2015,46517.58,49067.0,309364.99,8.29,24.52,37291,2015-07-01,46517.58
2018,47358.98,49999.0,325533.15,7.66,23.83,35096,2018-07-01,47358.98
2020,47214.2,50245.0,283453.58,8.86,30.36,25530,2020-07-01,47214.2
2021,48596.17,51307.0,323056.6,7.97,27.54,31963,2021-07-01,48596.17
2022,56666.29,59744.0,353322.39,7.98,26.46,31045,2022-07-01,56666.29
2023,59308.18,62635.0,368144.71,8.03,25.5,30540,2023-07-01,59308.18
2024,57694.89,60697.0,398628.56,6.19,21.23,30846,2024-07-01,57694.89
2025,58187.91,61189.0,441984.06,4.55,17.93,30098,2025-07-01,58187.91
